epoch,tra_loss,tra_oa,tra_miou,val_loss,val_oa,val_miou
1001,0.09630237839051656,0.9914341568946838,0.9634883999824524,0.18662214279174805,0.9759514927864075,0.8913164138793945
1003,0.1362685263156891,0.9913707971572876,0.9659543633460999,0.16623612772673368,0.9782685041427612,0.9001931548118591
1005,0.08615073561668396,0.992021918296814,0.964817464351654,0.21464829239994287,0.9749485850334167,0.8864324688911438
1007,0.10903929386820112,0.9913813471794128,0.9689756035804749,0.22630531527101994,0.9740385413169861,0.8837316632270813
1009,0.08333740117294448,0.9931792616844177,0.9671134352684021,0.2310177469626069,0.9743167161941528,0.8841167688369751
1011,0.09870583856744426,0.9919140934944153,0.9693775177001953,0.19885630905628204,0.9754828810691833,0.8889817595481873
1013,0.07378765302045005,0.9934025406837463,0.9755847454071045,0.20421156007796526,0.9749621748924255,0.8868481516838074
1015,0.10111355568681445,0.9907277822494507,0.9632436037063599,0.22278685681521893,0.9744518995285034,0.8856366872787476
1017,0.08442381929074015,0.9925828576087952,0.9730261564254761,0.23594694957137108,0.9746491312980652,0.885966956615448
1019,0.0750618145934173,0.9938859939575195,0.9727413058280945,0.2115132538601756,0.9754331111907959,0.8892192244529724
1021,0.08291552162596158,0.9928169846534729,0.9686846137046814,0.19995520450174809,0.9754368662834167,0.8888458013534546
1023,0.09792202923979078,0.9916249513626099,0.9716431498527527,0.18688910081982613,0.976068377494812,0.8916552662849426
1025,0.07820773071476392,0.9931657314300537,0.9710391163825989,0.2032031612470746,0.9748437404632568,0.8865179419517517
1027,0.08216814164604459,0.9931938648223877,0.9726954698562622,0.18854809179902077,0.975355863571167,0.8885502219200134
1029,0.12468243709632329,0.9895740747451782,0.9567363262176514,0.20300494506955147,0.975005030632019,0.8867102265357971
1031,0.09590718416231019,0.9914255738258362,0.9671347141265869,0.20653708651661873,0.9749021530151367,0.8861280083656311
1033,0.07288183963724545,0.9939134120941162,0.9737781882286072,0.23318695556372404,0.9749371409416199,0.8872697949409485
1035,0.09836294661675181,0.9915527701377869,0.970685601234436,0.2238533068448305,0.9747349619865417,0.8872429132461548
1037,0.10217621496745519,0.9908023476600647,0.9673277139663696,0.19942082185298204,0.9746246337890625,0.8837231397628784
1039,0.09624731859990529,0.9909894466400146,0.9677509665489197,0.20393151231110096,0.9750887155532837,0.8862223029136658
1041,0.09280056559613772,0.9919403791427612,0.973455548286438,0.17871111817657948,0.9787103533744812,0.9016864895820618
1043,0.08847396448254585,0.9921010136604309,0.9701402187347412,0.19716978631913662,0.9766451716423035,0.8933108448982239
1045,0.07744509620325905,0.9930712580680847,0.9690227508544922,0.19043805077672005,0.9769502282142639,0.8952033519744873
1047,0.10017468833497592,0.990996778011322,0.9656508564949036,0.210365928709507,0.9754332304000854,0.8891027569770813
1049,0.11178669280239514,0.9900764226913452,0.964844286441803,0.20055693946778774,0.9768903255462646,0.8938412070274353
1051,0.08687729494912284,0.9923670291900635,0.9676960110664368,0.2045369865372777,0.9749685525894165,0.8872000575065613
1053,0.08619119918772153,0.9930001497268677,0.9704510569572449,0.19890329148620367,0.9767387509346008,0.8934702277183533
1055,0.0787021177155631,0.9929691553115845,0.9693883657455444,0.2087057065218687,0.9749691486358643,0.8865631818771362
1057,0.10555730919752802,0.9898964762687683,0.9615757465362549,0.21118563879281282,0.9745294451713562,0.8852031230926514
1059,0.10380432488662857,0.9912782907485962,0.9617372751235962,0.2600656487047672,0.971423327922821,0.8730493187904358
1061,0.07318488082715444,0.993183970451355,0.972525417804718,0.2163814939558506,0.9751154184341431,0.8871971964836121
1063,0.07660973710673195,0.9935349822044373,0.9714201092720032,0.18869144842028618,0.9768525958061218,0.8941933512687683
1065,0.11483036992805344,0.9890124797821045,0.9638867974281311,0.21983422990888357,0.9750977754592896,0.88810795545578
1067,0.09122759369867188,0.9918235540390015,0.963722825050354,0.24609291180968285,0.9746605753898621,0.8862180113792419
1069,0.09009557749543871,0.9918784499168396,0.9636902213096619,0.2497042203322053,0.9747902750968933,0.8878616094589233
1071,0.07604986322777611,0.9932078719139099,0.9745470881462097,0.2505752295255661,0.9754517674446106,0.8904659152030945
1073,0.07494265426482473,0.9940430521965027,0.9747313857078552,0.2385579440742731,0.9750673770904541,0.8891854286193848
1075,0.09767122832792145,0.9909098148345947,0.9725148677825928,0.243474748916924,0.9760400652885437,0.8924824595451355
1077,0.08336355217865535,0.991901695728302,0.9617360830307007,0.25143382512032986,0.9755744338035583,0.8905652165412903
1079,0.08453570519174848,0.9925440549850464,0.9663328528404236,0.2427659947425127,0.9757738709449768,0.8912523984909058
1081,0.09158165327140264,0.9924056529998779,0.972374677658081,0.2372285071760416,0.9757735133171082,0.8913924694061279
1083,0.09143929183483124,0.9921804070472717,0.9703623056411743,0.20098504982888699,0.9758725762367249,0.8914603590965271
1085,0.0936133861541748,0.9918617010116577,0.9675301313400269,0.2122457092627883,0.9759263396263123,0.8920305967330933
1087,0.0674022515969617,0.9940127730369568,0.9693767428398132,0.20398797746747732,0.9752773642539978,0.8881552815437317
1089,0.08206823947174209,0.9931952953338623,0.969123125076294,0.19423354510217905,0.9755173325538635,0.8895291090011597
1091,0.0772313443677766,0.9929424524307251,0.9720602035522461,0.25258240569382906,0.9748565554618835,0.887894868850708
1093,0.08012692417417254,0.9925596714019775,0.9664138555526733,0.2404076075181365,0.975278377532959,0.889284610748291
1095,0.07931654900312424,0.9936069846153259,0.9679631590843201,0.1890434380620718,0.9759848713874817,0.8905863761901855
1097,0.08189847160662923,0.9934800267219543,0.9748952388763428,0.166497265920043,0.9782810211181641,0.9011845588684082
1099,0.0781613460608891,0.992731511592865,0.9720166921615601,0.20378716569393873,0.9774668216705322,0.897882342338562
1101,0.09764572020087924,0.9913607239723206,0.9654635787010193,0.19955112785100937,0.9763045310974121,0.8937366604804993
1103,0.06367055752447673,0.9944824576377869,0.9754735231399536,0.19737810734659433,0.9767060279846191,0.8948459625244141
